Hybrid,Location,PlantHeight
G27,TXH3,195.9350640007153
G27,WIH1,174.57133204808008
G27,WIH2,200.60405440070846
G27,WIH3,194.5276189445142
G28,DEH1,181.486667034339
G28,GAH1,140.9608548619935
G28,GAH2,127.83552507801795
G28,IAH1,188.08998032588036
G28,IAH3,217.49024778860337
G28,IAH4,184.76650250453346
G28,INH1,150.64249635957117
G28,MIH1,199.48260856169296
G28,MOH2,122.56802586799482
G28,NCH1,194.47532577613342
G28,NYH2,197.7903901544051
G28,NYH3,200.4616982015058
G28,WIH1,166.44335407201555
G28,WIH3,186.39964096844966
G29,DEH1,166.38195627563508
G29,IAH1,197.36780260167768
G29,IAH4,177.83874587450757
G29,MIH1,186.59976047965327
G29,MOH2,129.32916543296852
G29,NCH1,162.7515778191144
G29,WIH1,151.33864331331165
G29,WIH2,177.37136566594003
G30,DEH1,169.04307086781225
G30,GAH1,124.50882872870181
G30,GAH2,166.02984003637826
G30,GEH1,191.48407907590487
G30,IAH1,168.91689002463596
G30,IAH3,173.14933280036024
G30,IAH4,170.59800918530098
G30,ILH1,118.78312457097914
G30,INH1,166.468900193092
G30,MIH1,189.00306485831288
G30,MOH2,106.85110956830621
G30,NCH1,200.35446948537367
G30,NEH1,178.9061597511219
G30,NEH2,148.81813367770553
G30,NEH3,140.51953813605283
G30,NYH2,207.12933275195428
G30,NYH3,129.62354566329273
G30,SCH1,150.44441120027244
G30,TXH1,123.37943253207132
G30,TXH2,143.51060237661068
G30,TXH3,175.36348985812404
G30,WIH1,153.99975790548882
G30,WIH3,173.95604480192293
G31,DEH1,180.75631532265396
G31,GAH1,122.7385423297543
G31,GAH2,139.02108526252817
G31,GEH1,152.74597783966937
G31,IAH1,195.97352688851004
G31,IAH3,174.97480247781886
G31,IAH4,193.71718347062034
G31,ILH1,201.42533626307468
G31,INH1,160.86470824775455
G31,MIH1,167.62437390800469
G31,MOH2,184.46786233659367
G31,NCH1,165.70884689040466
G31,NEH1,221.87800706373972
G31,NEH2,161.61381453267757
G31,NEH3,203.6761626755685
G31,NYH2,177.9449556352795
G31,NYH3,175.9041605481762
G31,SCH1,206.18397314707275
G31,TXH1,94.69547609948009
G31,TXH2,155.22384683145242
G31,TXH3,187.07673431296575
G31,WIH2,191.74572471295892
G31,WIH3,185.66928925676464
G32,DEH1,209.07568134854884
G32,GAH1,174.20339712230992
G32,GAH2,186.74004812432506
G32,GEH1,174.19031608472335
G32,IAH1,209.4799975599663
G32,IAH3,203.0538983736008
G32,IAH4,193.38365287845699
G32,ILH1,214.1678565290615
G32,INH1,241.0165106737797
G32,MOH2,138.51216956340713
G32,NCH1,171.78220908212228
G32,NEH1,216.990272593574
G32,NEH2,183.9418427195073
G32,NEH3,231.84909366201484
G32,NYH2,178.5068852609952
G32,NYH3,220.41129269607129
G32,SCH1,159.7700703829512
G32,TXH1,205.74568134855025
G32,TXH2,183.54321285734727
G32,TXH3,215.39610033886063
G32,WIH1,194.03236838622541
G32,WIH2,220.0650907388538
G32,WIH3,213.98865528265952
G33,DEH1,208.5457160575678
G33,IAH1,212.4218949456495
G33,IAH3,215.89232086560648
G33,IAH4,180.2114618440047
G33,NCH1,205.56597576768294
G33,WIH2,219.53512544787276
G34,DEH1,167.64333273342032
G34,GAH1,125.01147391845515
G34,GAH2,127.68927257676633
G34,GEH1,172.8617452504394
G34,IAH1,150.00459713371902
G34,IAH3,166.66932453586713
G34,IAH4,172.9363990350461
G34,ILH1,204.6433327334245
G34,INH1,156.11937704243988
G34,MIH1,201.61057866804452
G34,MOH2,124.15851300820782
G34,NEH1,202.77258491551945
G34,NEH2,172.34912975986393
G34,NEH3,184.44548145130454
G34,NYH2,187.97318968603162
G34,NYH3,188.6001756836821
G34,SCH1,170.05715682683672
G34,TXH1,155.6387593376872
G34,TXH2,142.11086424221872
G34,TXH3,173.96375172373212
G34,WIH1,152.60001977109687
G34,WIH2,178.63274212372528
G34,WIH3,172.55630666753098
G35,GAH1,158.21871793371074
